id,user_id,tweeted_at,content
87b1dbcf-fc9b-468d-b9d2-ccc1d8ff2801,ded8a4e1-7fd4-4c33-bdd7-9e8c689f528c,2018-09-01T10:48:41.741854,"Jaffle Shop again. Ordered a vanilla ice, a tangaroo, a mel-bun, and a doctor stew. This place is my least favorite."
42711e16-0050-4f71-90c1-6d340e1958e5,5b6f29e6-4cf3-4973-8d28-4e4238807ca9,2018-09-01T13:20:46.573127,"Jaffles from the Jaffle Shop are delicious! Ordered a adele-ade, a for richer or pourover , a adele-ade, a for richer or pourover , a chai and mighty, a nutellaphone who dis?, a the krautback, a the krautback, a flame impala, and a doctor stew."
e08c7780-575a-4901-a6fc-11fcf96a01f3,dff29e3c-fb95-4b1b-8ad9-3907700498d9,2018-09-01T12:36:04.161214,Jaffle Shop again. Ordered a tangaroo. This place is gross.
0723ea44-2fa9-45db-80d4-7fe9c38442d2,75bef2d7-cba1-4d71-bec3-5ae45505750f,2018-09-01T09:34:06.240633,Jaffles from the Jaffle Shop are sooo gooood! Ordered a chai and mighty and a the krautback.
e7d5eed3-a66c-4434-b2d7-0103f4fbcdd9,9b85972d-8ec6-4167-8c2d-d333915955ad,2018-09-01T12:21:20.605601,"Jaffles from the Jaffle Shop are awesome! Ordered a adele-ade, a chai and mighty, a for richer or pourover , a the krautback, a nutellaphone who dis?, and a mel-bun."
21739bba-3c01-4199-8ea4-6ab1ee174968,8a956ac1-1abd-49ff-8436-b30d0a54c1c5,2018-09-01T10:32:42.784693,Jaffles from the Jaffle Shop are amazing! Ordered a chai and mighty.
b7551207-9084-4965-80c8-749cb6f52449,21bde40c-a448-4d83-97e5-5380a966c478,2018-09-01T11:09:02.680043,Jaffles from the Jaffle Shop are amazing! Ordered a chai and mighty.
93521293-1fae-460d-a263-2c4674e3a76f,5a827162-aff1-4b8b-8674-da7063d08aa6,2018-09-01T14:11:03.420085,"Jaffle shop is not bad. Ordered a adele-ade, a adele-ade, a adele-ade, a vanilla ice, a adele-ade, a doctor stew, a the krautback, a flame impala, a nutellaphone who dis?, and a mel-bun."
07ef12ec-c21c-4816-965a-e6ad2a5d3f37,144c650d-e30e-4c03-bc05-d13ae9758caa,2018-09-01T11:50:50.636554,Jaffles from the Jaffle Shop are delicious! Ordered a for richer or pourover  and a the krautback.
5a11d087-2788-4846-9cc3-7a968c8b5013,9c1dd022-a356-460f-bd15-1fa148a6f5c6,2018-09-01T11:45:25.617670,Jaffles from the Jaffle Shop are amazing! Ordered a for richer or pourover .
76aad655-5026-4afa-9d05-363951a3b374,26737bff-2e03-41a7-b3c5-e2588407b086,2018-09-01T12:26:57.339058,"Jaffles from the Jaffle Shop are the best! Ordered a for richer or pourover , a tangaroo, a for richer or pourover , a the krautback, a flame impala, and a flame impala."
3461a872-632b-4d3f-96fb-d0cf53e3b9a6,12d0077f-f6b4-44f5-af5a-43fe6acc5233,2018-09-01T14:14:32.821017,Jaffle shop is not bad. Ordered a for richer or pourover .
a163f0ea-52a8-4e3b-b28e-f5bf0f69ca1b,79369671-cfce-4c6c-91bb-28bb39f65633,2018-09-01T12:25:30.408000,"Jaffle Shop again. Ordered a vanilla ice, a vanilla ice, a tangaroo, a tangaroo, a vanilla ice, a nutellaphone who dis?, a flame impala, a doctor stew, a flame impala, and a nutellaphone who dis?. This place is my least favorite."
ea5eb7c3-28dd-4bcd-8983-65f77b5a9f78,38ce0970-a3ff-48df-86d0-7a8797f0397c,2018-09-02T11:10:37.578629,Jaffles from the Jaffle Shop are amazing! Ordered a adele-ade.
591c57a4-29bc-4a91-908e-5264e4067bfe,ded8a4e1-7fd4-4c33-bdd7-9e8c689f528c,2018-09-02T08:12:53.689906,"Jaffle Shop again. Ordered a tangaroo, a chai and mighty, a mel-bun, and a nutellaphone who dis?. This place is inedible."
